2,1.6,0,8.739736
2,2.6,1,18.85101
2,2.2,1,4.108184
2,1.4,0,5.618714
1.6,2,1,3.449199
2,2.4,1,4.604606
1.8,2,1,24.96684
2,1.8,0,7.883558
2.6,2,0,5.025277
2,2,1,8.939552
2,2.4,1,4.777331
2,2,1,5.332099
1.4,2,1,4.02949
2,1.4,0,2.821315
2,2,1,15.0221
2,2.6,1,5.99659
2,1.4,0,3.101895
2,2.4,1,3.539362
1.4,2,1,4.098732
2,1.8,0,6.020388
2,1.6,0,3.464362
1.6,2,1,3.020985
2,2.4,1,3.58326
2,1.6,0,2.598426
1.6,2,1,2.670826
2,2,1,18.95798
2,2,0,3.565672
1.4,2,1,3.150486
2.4,2,0,6.890491
2,2.2,1,6.134149
2,2,0,15.93962
1.6,2,1,5.974787
2,2,0,24.14174
2,1.4,0,4.292358
2,2.2,1,3.821794
2.6,2,0,5.805323
1.8,2,1,2.57529
2,2.4,1,4.569131
2,2,1,18.48793
2.6,2,0,3.53894
2.6,2,0,3.734592
2.6,2,0,3.51201
2.6,2,0,5.976521
2,1.8,0,4.642447
2.2,2,0,4.928605
2,2.6,1,2.99638
2,1.6,0,3.172443
1.8,2,1,10.87475
1.8,2,1,6.497957
1.8,2,0,4.037154
2,2.2,1,3.334588
2,2.4,1,3.447512
1.4,2,1,4.536907
2,2,1,6.096312
2.2,2,0,3.466104
2.2,2,0,4.499035
2.6,2,0,6.853283
2.4,2,0,3.498697
1.6,2,1,2.895024
2,1.6,0,3.015708
2.2,2,0,4.441177
2,2.2,1,7.546553
2.2,2,0,3.463967
1.8,2,1,2.892864
1.4,2,1,4.123943
2,1.4,0,3.219528
2,2.4,1,9.102012
2,2,0,10.34352
2.4,2,0,4.983543
2,1.8,1,13.04004
